,Id,Elderly_ratio,Median_age,White_ratio,Black_ratio,Asian_ratio,Others_ratio,commute_up60min_ratio,Noschooling_ratio,Master_ratio,Spanish_lan_ratio,Europe_lan_ratio,Asian_lan_ratio,Other_lan_ratio,Median_income,Social_security_income_ratio,Unemplyed_ratio,Vacant_ratio,Householders,Hoseholders_Ratio,White_household_ratio,Black_household_ratio,Asian_household_ratio,Household_15_34_ratio,Household_35_64_ratio,Household_65over_ratio,gas_ratio,LPgas_ratio,Electricity_ratio,FuelOil_ratio,Coal_ratio,Wood_ratio,Solar_ratio,Otherfuel_ratio,Nofuelused_ratio,Median_contract_rent,Per_capita_income,BG,BBL,Full_Address,normalized_gap
42,1500000US360610008001,22.6,49.8,9.7,0.48,82.35,7.47,5.72,13.48,5.43,0.0,0.0,23.86,0.0,19013,9.8,12.12,24.91,398.0,38.6,9.05,0.0,24.62,0.0,71.11,28.89,51.01,3.27,3.52,37.94,0.0,0.0,0.0,0.0,4.27,845,12223.0,360610008001,1002800011.0,"43 HENRY STREET New York, NY 10002",0.111111111111
43,1500000US360610008001,22.6,49.8,9.7,0.48,82.35,7.47,5.72,13.48,5.43,0.0,0.0,23.86,0.0,19013,9.8,12.12,24.91,398.0,38.6,9.05,0.0,24.62,0.0,71.11,28.89,51.01,3.27,3.52,37.94,0.0,0.0,0.0,0.0,4.27,845,12223.0,360610008001,1002800055.0,"23 CATHERINE STREET New York, NY 10038",0.133333333333
44,1500000US360610008001,22.6,49.8,9.7,0.48,82.35,7.47,5.72,13.48,5.43,0.0,0.0,23.86,0.0,19013,9.8,12.12,24.91,398.0,38.6,9.05,0.0,24.62,0.0,71.11,28.89,51.01,3.27,3.52,37.94,0.0,0.0,0.0,0.0,4.27,845,12223.0,360610008001,1002810011.0,"26 EAST BROADWAY New York, NY 10002",-0.125
45,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770029.0,"58 HENRY STREET New York, NY 10002",0.0
46,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770036.0,"44 HENRY STREET New York, NY 10002",0.0909090909091
47,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770030.0,"56 HENRY STREET New York, NY 10002",-0.529411764706
48,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770054.0,"37 CATHERINE STREET New York, NY 10038",0.0
49,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770049.0,"27 CATHERINE STREET New York, NY 10038",0.1
50,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770031.0,"54 HENRY STREET New York, NY 10002",0.0625
51,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770042.0,"32 HENRY STREET New York, NY 10002",-0.0454545454545
52,1500000US360610008002,8.18,39.2,3.19,0.0,89.67,7.14,9.15,6.87,1.53,0.0,0.0,19.83,0.0,17069,3.95,8.81,15.95,469.0,32.52,2.77,0.0,27.08,13.02,71.52,15.45,30.28,5.76,12.79,44.35,0.0,0.0,0.0,0.0,6.82,897,19171.0,360610008002,1002770021.0,"35 MARKET STREET New York, NY 10002",0.0
